,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,runtime,run_id,TOF,RFK1,RFK2,NaTOF,nOsci,ZCamNa,dummy1,dummy2,dummy3,K40MOTF,MOTFreq,Magtrap,SeqMode,CMOTFreq,CompTime,FBspConv,FBinGauss,K40MOTReF,K40MOTReP,Kloading1,NaLoading,K40loading,Li MOT Pow,Naloading1,SGendpoint,TandemFreq,TandemVolt,drivingAmp,repetition,CRepumpFreq,IPGEndpoint,ImagTanFreq,Li CMOT Pow,Li ImagFreq,NaF2Voltage,ODTendvalue,PumpTanFreq,PumpTanVolt,TOFminus1ms,TiSaSlowPzt,drivingFreq,CRepumpPower,IterationNum,K41 CMOTFreq,K41 MOTFreqV,NaTandemVolt,FBPowerSupply,ImgTanVoltm72,K40ImgMOTFreq,K40MolassrepP,K40PumpReFreq,K41 PumpRePow,K41 RepumpPow,Li MolMOT Pow,MOTRepumpFreq,NaLoading1old,drivingAmpIPG,FBPowerSupply2,ImagTandemVolt,IterationCount,K40 AmplifierP,K40PumpMOTFreq,K40PumpRePower,K41 CRepumpPow,K41 PumpReFreq,Li CRepump Pow,Li Repump  Pow,PumpRepumpFreq,K41 CRepumpFreq,K41 PumpMOTFreq,Li CLockin Freq,Li CRepump Freq,drivingDuration,Li MolRepump Pow,SequenceDuration,SequenceModeName,TiSaAlignPreTrig,analysisPhaseDeg,K40PumpSlowerAOMP,Li MolLockin Freq,Li MolRepump Freq,analysisPhaseTime,Li MOT Lockin Freq,Li MOT Repump Freq,ListBoundVariables,Zcam KTOF position,filename0,filename1,filename2,Bx,By,Bz,Bz2,Decomp0Time,DummyTime,EVC time,FB current,FBpidVset,FBpidVset2,FinalKinfe,K39ImgMOTFreq,K39PumpSlowerAOMP,K39PumpTanPower,K39TanPower,K41 ImgMOTFreq,K41 MolMOTFreq,K41 MolRepumpFreq,K41 MolRepumpPow,K41 RepumpFreqV,K41MOTFreq,K41PumpSlowerAOMP,K41RepumpFreq,K41SlowerMOTFreq,K41SlowerMOTFreqV,K41SlowerRepumpFreq,K41SlowerRepumpFreqV,MOT coil,MOTPower,MOTReP,MolMOTFreq,MolRepFreq,MolRepPower,MolTAPower,ODT1 Power,PumpMOTFreq,PumpRepumpPower,k39 loading time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-23T17:35:12Z,209843,0.01,0.0,0.0,0.6,10.0,19.0,0.25,0.0,0.0,7.35,5.5,1.0,0.0,5.1,30.0,2.2000420000000003,80.2,5.45,2.4,5.0,4.0,4.0,2.8,5.0,2.5,202.0,5.85746124704,0.015,1.0,5.5,1.0,263.558,2.0,7.9,0.20400000000000013,0.08,250.0,7.6781000000000015,-0.99,0.0,200.0,3.6,0.0,7.05,0.0,5.01344,3.0,7.530805999999999,7.15,2.5,5.55,4.0,2.5,2.0,6.15,0.0,0.15,3.4605794999999997,7.692436,872.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,50.0,1.5,26.00005999999999,New Zcam,0.0,0.0,0.3,4.1,5.7,0.0,4.9,5.9,"['dummy1', 'FBinGauss', 'drivingFreq', 'repetition']",21.9999914,image00.csv,image01.csv,image02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2020-07-23T17:35:12Z,209843,0.01,0.0,0.0,0.6,10.0,19.0,0.25,0.0,0.0,7.35,5.5,1.0,0.0,5.1,30.0,2.2000420000000003,80.2,5.45,2.4,5.0,4.0,4.0,2.8,5.0,2.5,202.0,5.85746124704,0.015,1.0,5.5,1.0,263.558,2.0,7.9,0.20400000000000013,0.08,250.0,7.6781000000000015,-0.99,0.0,200.0,3.6,0.0,7.05,0.0,5.01344,3.0,7.530805999999999,7.15,2.5,5.55,4.0,2.5,2.0,6.15,0.0,0.15,3.4605795,7.692436,872.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,50.0,1.5,26.00005999999999,New Zcam,0.0,0.0,0.3,4.1,5.7,0.0,4.9,5.9,"['dummy1', 'FBinGauss', 'drivingFreq', 'repetition']",21.9999914,image10.csv,image11.csv,image12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2020-07-23T17:35:12Z,209843,0.01,0.0,0.0,0.6,10.0,19.0,0.25,0.0,0.0,7.35,5.5,1.0,0.0,5.1,30.0,2.2000420000000003,80.2,5.45,2.4,5.0,4.0,4.0,2.8,5.0,2.5,202.0,5.85746124704,0.015,1.0,5.5,1.0,263.558,2.0,7.9,0.20400000000000013,0.08,250.0,7.6781000000000015,-0.99,0.0,200.0,3.6,0.0,7.05,0.0,5.01344,3.0,7.530805999999999,7.15,2.5,5.55,4.0,2.5,2.0,6.15,0.0,0.15,3.4605794999999997,7.692436,872.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,50.0,1.5,26.00005999999999,New Zcam,0.0,0.0,0.3,4.1,5.7,0.0,4.9,5.9,"['dummy1', 'FBinGauss', 'drivingFreq', 'repetition']",21.9999914,image20.csv,image21.csv,image22.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,3.0,3.0,3.0,3.0,3.0,,,,2020-07-23T17:35:12Z,209843,0.01,0.0,0.0,0.6,10.0,19.0,0.25,0.0,0.0,7.35,5.5,1.0,0.0,5.1,30.0,2.2000420000000003,80.2,5.45,2.4,5.0,4.0,4.0,2.8,5.0,2.5,202.0,5.85746124704,0.015,1.0,5.5,1.0,263.558,2.0,7.9,0.20400000000000013,0.08,250.0,7.6781000000000015,-0.99,0.0,200.0,3.6,0.0,7.05,0.0,5.01344,3.0,7.530805999999999,7.15,2.5,5.55,4.0,2.5,2.0,6.15,0.0,0.15,3.4605795,7.692436,872.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,50.0,1.5,26.00005999999999,New Zcam,0.0,0.0,0.3,4.1,5.7,0.0,4.9,5.9,"['dummy1', 'FBinGauss', 'drivingFreq', 'repetition']",21.9999914,image30.csv,image31.csv,image32.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,4.0,4.0,4.0,4.0,,,,,2020-07-23T17:35:12Z,209843,0.01,0.0,0.0,0.6,10.0,19.0,0.25,0.0,0.0,7.35,5.5,1.0,0.0,5.1,30.0,2.2000420000000003,80.2,5.45,2.4,5.0,4.0,4.0,2.8,5.0,2.5,202.0,5.85746124704,0.015,1.0,5.5,1.0,263.558,2.0,7.9,0.20400000000000013,0.08,250.0,7.6781000000000015,-0.99,0.0,200.0,3.6,0.0,7.05,0.0,5.01344,3.0,7.530805999999999,7.15,2.5,5.55,4.0,2.5,2.0,6.15,0.0,0.15,3.4605794999999997,7.692436,872.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,50.0,1.5,26.00005999999999,New Zcam,0.0,0.0,0.3,4.1,5.7,0.0,4.9,5.9,"['dummy1', 'FBinGauss', 'drivingFreq', 'repetition']",21.9999914,image40.csv,image41.csv,image42.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,5.0,5.0,5.0,,,,,,2020-07-24T11:18:15Z,209857,15.0,,,,,,-0.1,0.014285714285714287,-0.0014285714285714288,7.35,5.5,1.0,0.0,5.1,10.0,,,5.45,2.4,,,,2.8,,,202.0,5.85746124704,,,5.5,,247.0,2.0,7.9,,,251.0,7.705319999999999,,,,3.6,0.0,7.05,6.036419411479372,,1.242633,,7.15,2.5,5.55,4.0,2.5,2.0,6.15,,,3.4605795000000006,7.5964399999999985,8.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,,1.5,17.43356,BECMode,,,0.3,4.1,5.7,,4.9,5.9,['dummy1'],,image00.csv,image01.csv,image02.csv,0.45,0.0,0.0,0.1,0.5,0.0,2.6,1.65,1.0,4.0,0.0,6.0,2.5,0.7,2.5,6.0,7.657,2.37,2.7,2.1011856703999854,85.5,2.1,214.0,90.0,7.227510781250002,105.0,8.781177036800003,0.5,5.0,2.65,5.2,5.55,2.1,1.3,0.45,6.54,3.6,0.0
6,6.0,6.0,6.0,,,,,,,2020-07-24T11:18:15Z,209857,15.0,,,,,,-0.1,0.014285714285714287,-0.0014285714285714288,7.35,5.5,1.0,0.0,5.1,10.0,,,5.45,2.4,,,,2.8,,,202.0,5.85746124704,,,5.5,,247.0,2.0,7.9,,,251.0,7.705319999999999,,,,3.6,0.0,7.05,6.036419411479372,,1.242633,,7.15,2.5,5.55,4.0,2.5,2.0,6.15,,,3.4605795000000006,7.5964399999999985,8.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,,1.5,17.43356,BECMode,,,0.3,4.1,5.7,,4.9,5.9,['dummy1'],,image10.csv,image11.csv,image12.csv,0.45,0.0,0.0,0.1,0.5,0.0,2.6,1.65,1.0,4.0,0.0,6.0,2.5,0.7,2.5,6.0,7.657,2.37,2.7,2.1011856703999854,85.5,2.1,214.0,90.0,7.227510781250002,105.0,8.781177036800003,0.5,5.0,2.65,5.2,5.55,2.1,1.3,0.45,6.54,3.6,0.0
7,7.0,7.0,,,,,,,,2020-07-24T11:18:15Z,209857,15.0,,,,,,-0.1,0.014285714285714287,-0.0014285714285714288,7.35,5.5,1.0,0.0,5.1,10.0,,,5.45,2.4,,,,2.8,,,202.0,5.85746124704,,,5.5,,247.0,2.0,7.9,,,251.0,7.705319999999999,,,,3.6,0.0,7.05,6.036419411479372,,1.242633,,7.15,2.5,5.55,4.0,2.5,2.0,6.15,,,3.4605795000000006,7.5964399999999985,8.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,,1.5,17.43356,BECMode,,,0.3,4.1,5.7,,4.9,5.9,['dummy1'],,image20.csv,image21.csv,image22.csv,0.45,0.0,0.0,0.1,0.5,0.0,2.6,1.65,1.0,4.0,0.0,6.0,2.5,0.7,2.5,6.0,7.657,2.37,2.7,2.1011856703999854,85.5,2.1,214.0,90.0,7.227510781250002,105.0,8.781177036800003,0.5,5.0,2.65,5.2,5.55,2.1,1.3,0.45,6.54,3.6,0.0
8,8.0,,,,,,,,,2020-07-24T11:18:34Z,209858,15.0,,,,,,-0.1,0.014285714285714287,-0.0014285714285714288,7.35,5.5,1.0,0.0,5.1,10.0,,,5.45,2.4,,,,2.8,,,202.0,5.85746124704,,,5.5,,247.0,2.0,7.9,,,251.0,7.7053199999999995,,,,3.6,0.0,7.05,6.036419411479372,,1.242633,,7.15,2.5,5.55,4.0,2.5,2.0,6.15,,,3.4605795000000006,7.596439999999999,8.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,,1.5,17.43356,BECMode,,,0.3,4.1,5.7,,4.9,5.9,['dummy1'],,image30.csv,image31.csv,image32.csv,0.45,0.0,0.0,0.1,0.5,0.0,2.6,1.65,1.0,4.0,0.0,6.0,2.5,0.7,2.5,6.0,7.657,2.37,2.7,2.1011856703999854,85.5,2.1,214.0,90.0,7.227510781250002,105.0,8.781177036800003,0.5,5.0,2.65,5.2,5.55,2.1,1.3,0.45,6.54,3.6,0.0
9,,,,,,,,,,2020-07-24T11:18:34Z,209858,15.0,,,,,,-0.1,0.014285714285714287,-0.0014285714285714288,7.35,5.5,1.0,0.0,5.1,10.0,,,5.45,2.4,,,,2.8,,,202.0,5.85746124704,,,5.5,,247.0,2.0,7.9,,,251.0,7.70532,,,,3.6,0.0,7.05,6.036419411479372,,1.242633,,7.15,2.5,5.55,4.0,2.5,2.0,6.15,,,3.4605795000000006,7.59644,8.0,5.5,7.3,3.7,2.6,1.55,2.0,2.8,5.8,1.65,6.1,4.9,5.9,,1.5,17.43356,BECMode,,,0.3,4.1,5.7,,4.9,5.9,['dummy1'],,image40.csv,image41.csv,image42.csv,0.45,0.0,0.0,0.1,0.5,0.0,2.6,1.65,1.0,4.0,0.0,6.0,2.5,0.7,2.5,6.0,7.657,2.37,2.7,2.1011856703999854,85.5,2.1,214.0,90.0,7.227510781250002,105.0,8.781177036800003,0.5,5.0,2.65,5.2,5.55,2.1,1.3,0.45,6.54,3.6,0.0
